Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;1;1;60;N;S;N;Piso;"Mazarredo; Abando - Albia";900;Abando;40300
Bilbao;4;1;85;S;S;N;Piso;"Montevideo Etorbidea; Basurtu - Zorrotza";1500;Basurtu;29709
Bilbao;2;2;92;S;S;N;Piso;"Plaza de Euskadi; Abando - Albia";1800;Abando;40300
Bilbao;2;2;92;S;S;N;Piso;"Plaza de Euskadi; Abando - Albia";1950;Abando;40300
Bilbao;2;2;108;S;S;N;Piso;"Plaza de Euskadi; Abando - Albia";2200;Abando;40300
Bilbao;1;2;45;N;S;N;Loft;LoftAbando - Albia;1200;Abando;40300
Bilbao;3;2;160;N;S;N;Piso;Abando - Albia;2300;Abando;40300
Bilbao;4;1;160;N;N;N;Piso;"Bilbao - Cueva Santimamiñe 1. Bilbao; Ibaiondo";1350;Ibaiondo;30491
Bilbao;3;3;145;S;S;N;Piso;"Bilbao - Maria Diaz de Haro; Indautxu";1700;Indautxu;40401
Bilbao;3;2;170;N;S;N;Piso;"Don Diego López Haroko Kale Nagusia; Abando - Albia";1800;Abando;40300
Bilbao;2;2;90;S;S;N;D�plex;"Muelle Sirgueras; Basurtu - Zorrotza";1100;Basurtu;29709
Bilbao;4;2;145;N;S;S;Piso;"Paseo Campo de Volantín; Uribarri";1850;Uribarri;18654
Bilbao;2;1;75;N;S;N;Piso;"José María de Escuza Kalea; Indautxu";900;Indautxu;40401
Bilbao;2;2;70;N;S;N;Piso;"Calle Zankoeta; Basurtu - Zorrotza";950;Basurtu;29709
Bilbao;2;2;70;N;S;N;Piso;"Máximo Aguirre; Indautxu";1500;Indautxu;40401
Bilbao;1;1;52;N;S;N;Piso;"Pérez Galdós Kalea; Indautxu";800;Indautxu;40401
Bilbao;2;1;70;S;N;N;Piso;"Plaza Aita Donostia; 4; Basurtu - Zorrotza";800;Basurtu;29709
Bilbao;2;2;90;N;S;N;Piso;"Funikularreko Plaza; Uribarri";1250;Uribarri;18654
